ホテル名,ホテルID,ユーザ名,性別,年代,URL,クチコミID,投稿日,宿泊年月,評価(総合),評価(サービス),評価(立地),評価(部屋),評価(設備・アメニティ),評価(風呂),評価(食事),口コミ種別,口コミ,ホテル側の返答,ご利用の宿泊プラン,ご利用のお部屋
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/17933194?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=1,,2021-03-06 23:33:13,2021月02月,4,2,4,4,3,4,4,,上天草の定宿でもう何度も宿泊させて貰っているが、既に顔見知りの従業員さんとそうではない従業員さんの対応の落差が激しい。朝食を摂った後、食器等を下げる時も、フロントの前を通った時も、従業員さんは事務所内に引きこもったまま。別の宿泊客も「ご馳走様～」の声かけも出来ずすごすごと部屋へ。ガッカリ。,いつも、当ホテルをご利用いただき誠にありがとうございます。スタッフの対応がお客様をがっかりさせてしまった事、申し訳ございませんでした。お客様が笑顔でご利用いただけるようスタッフ一同努力してまいります。またのご利用お待ちしております。,【夕食付・朝食無料】スタンダードプラン,【【禁煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,エテ吉７０５,40代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/17725819?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=2,,2020-12-03 12:32:51,2020月10月,5,5,5,5,5,5,5,,釣りに行った時にいつも泊まってます申し分ないです(≧▽≦),いつもご利用ありがとうございます。今回の釣果はいかがでしたでしょうか？次回も「申し分ない」と、おっしゃっていただけるようなひとときをご提供できるよう心がけたいと思います。フロント　近藤,【朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,エテ吉７０５,40代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/17725811?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=3,,2020-12-03 12:31:01,2020月10月,5,5,5,5,5,5,5,,天草に釣りに行った時は毎回泊まってます!申し分ないです(≧▽≦),いつも当ホテルをご利用下さいまして誠にありがとうございます。毎回ご満足いただけるよう、スタッフ一同努力してまいります。またのお越しを心よりお待ち申し上げております。　フロント　近藤,【朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,ローターマテウス1028,60代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/17690900?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=4,,2020-11-26 06:38:31,2020月11月,4,4,4,4,3,3,5,,無料で朝食サービスが付いているのでありがたい。,この度は当ホテルをご利用頂き有難うございます。またのご利用心よりお待ち申し上げております。フロント　堀口,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/17658331?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=5,,2020-11-19 19:59:25,2020月11月,4,4,4,4,4,3,4,,今回３回目の利用。夕、朝食のおかずバリエーションが増えたよ～な気がした…。部屋や食事、ホテル従業員さんの対応等も満足している。次回も利用させて頂く予定。,いつもご利用頂き有難うございます。お客様にご満足して頂けたこと心より嬉しく思います。これからも、お客様に喜んでいただけるよう努力してまいります。またのご利用、スタッフ一同心よりお待ち申し上げております。フロント　堀口,【夕食付・朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,とし7078,50代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/17530871?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=6,,2020-10-17 23:42:58,2020月10月,4,3,5,4,3,3,2,,快適に過ごさせて頂きました。,このたびは当ホテルをご利用下さいまして誠にありがとうございます。快適にお過ごしいただけて大変嬉しく思います。またのお越しを心よりお待ち申し上げております。　フロント　近藤 ,【朝食無料】スタンダードプラン,【【禁煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/17523505?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=7,,2020-10-16 07:24:46,2020月10月,4,4,4,4,3,3,4,,利用二回目。前回同様快適。gotoクーポンの利用可能店舗の案内もあり助かった。夕食豚肉、おいしかった。朝食バイキングのおかずの種類を増やして欲しい。今回は到着時間が遅かったので、スパタラソには行けなかった。,このたびは当ホテルをご利用下さいまして誠にありがとうございます。二度目のご利用とのこと、ご満足いただけて大変嬉しく思います。朝食のおかずについて、貴重なご意見ありがとうございます。参考にさせていただき検討していきたいと思います。三度目も、よりご満足いただけるようスタッフ一同努力してまいります！！フロント　近藤,【夕食付・朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,果てしなき旅路の人,40代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/17492839?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=8,,2020-10-08 12:47:32,2020月08月,4,3,4,4,3,3,4,,大通りに面していて駐車場が広くて便利です。朝食無料が嬉しいです。,このたびは当ホテルをご利用下さいまして誠にありがとうございます。駐車場や朝食について、ご満足いただけたとのことで大変嬉しく思います。これからもお客様の快適なひとときをサポートできるようスタッフ一同努力してまいります。またのお越しを心よりお待ち申し上げております。　フロント　近藤,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/17392530?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=9,,2020-09-10 16:08:53,2020月09月,4,4,4,3,2,3,3,,Wi-Fiが使えるはずですが電波が利用した部屋までギリギリ届きませんでした。,このたびは当ホテルをご利用下さいまして誠にありがとうございます。今回はWi-Fiの件でご迷惑をおかけして申し訳ありませんでした。調査、確認の上、お客様にご満足いただけるよう改善をするようにして行きます。またのお越しを心よりお待ち申し上げております。フロント　近藤,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/17354353?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=10,,2020-08-25 12:11:39,2020月08月,4,4,4,4,4,4,5,,今回初めて、二食付きを選択。夕食は鍋を選択し、大正解。ボリュームがあり、レストラン担当従業員さんの対応も非常に良かった。フロントも気持ち良く対応して頂いた。近くのしょっぱい温泉も、空いていて良かった。二段ベッド、面白いね～。,このたびは当ホテルをご利用下さいまして誠にありがとうございます。食事にもスタッフの対応にもご満足いただけたとのお言葉、大変嬉しく思います。これからもお客様により快適にお過ごしいただけるよう、努力してまいります。またのお越しを心よりお待ち申し上げております！！フロント　近藤,【夕食付・朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/17278768?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=11,,2020-07-30 20:18:46,2020月07月,4,4,4,3,3,3,4,,夕食、朝食付きで、お得に宿泊出来ました。ホテルは道路からすぐに有り、解りやすく、良かったです。近くに温泉施設がなかったのが、残念でした。食事が付いて、お得なので、又、宿泊したいとおもいます。,この度は当ホテルをご利用下さいまして誠にありがとうございます。またお忙しい中ご投稿下さいまして重ねて御礼申し上げます。また宿泊したいとのお言葉大変うれしく思います。これからもまた宿泊したいと思って頂けるよう精進致します。またのお越しを心よりお待ち申し上げております。フロント　木藤,【夕食付・朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/17211625?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=12,,2020-06-25 07:10:01,2020月06月,4,3,3,3,3,3,1,,従業員の接客、は今まで私が泊まったAZグループの中で一番です。1か月以上の宿泊でしたが、朝食は毎朝数種類が欠品します。従業員は食器を洗うのに夢中で気がつかないのでしょうね。その配慮を怠らなければいいのですが,ご利用有難うございます。ご指摘の件今後ないように従業員一同気を引き締めめて参りたいと思います。またのご利用お待ち申し上げております。,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/17195999?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=13,,2020-06-10 21:37:45,2020月06月,4,3,4,3,3,3,3,,急に宿泊が必要となり、急遽予約させていただきました。このご時世、いろいろな不安もありましたが、コロナ対策もきちんとされてあり安心して宿泊させていただく事ができました。ありがとうございました。初めて２段ベットのあるお部屋を利用しましたが、部屋の狭さも感じずに、ゆっくり体を休める事もできよかったです。翌日の朝食もしっかりいただき、おかげでこの日１日の活力となりました。また機会があれば利用させていただきます。,このたびはHOTELAZ上天草店をご利用いただきまして誠にありがとうございます。ゆっくりとお休みいただけたとのお声をいただき、大変嬉しく思います。これからもコロナ対策はもちろんのこと、お客様に安心してご利用いただけるようスタッフ一同努力してまいります。またのご利用を心よりお待ちしております！！HOTEL AZ上天草店　フロント,【朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,もりちゃん61681034,50代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/16753158?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=14,,2019-11-06 16:32:59,2019月11月,4,5,4,4,5,4,4,,スタッフの親切な対応が良かった。,この度は、当ホテルをご利用頂き誠に有難うございます。スタッフの対応にご満足頂けたようで大変嬉しく思います！このお言葉に慢心することなく今後も満足頂ける接客を目指してまいります。またのご利用スタッフ一同心よりお待ち致しております。フロント　関,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/16735561?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=15,,2019-10-31 11:48:45,2019月10月,4,4,3,5,4,4,4,,玄関に灰皿が設置されているため、出入りをする時に煙を受けて不快でした。,ご返信遅くなり大変申し訳ございません。この度は、当ホテルをご利用頂き誠に有難うございます。当館は、建物上喫煙室を設けておらず玄関先に灰皿を設置致しております。お煙草を吸われないお客様にはご迷惑をおかけしております。玄関先以外に設置できる場所がないか検討させて頂きます。この度はご迷惑おかけし申し訳ございません。またのご利用スタッフ一同心よりお待ち致しております。フロント　関,【朝食無料】スタンダードプラン,【【禁煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/16616585?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=16,,2019-09-09 17:54:42,2019月09月,5,5,5,4,5,4,5,,魚釣りにいく時利用してます。立地もよく、朝食も美味しいので満足してます,この度は、当ホテルをご利用頂き誠に有難うございます。　ホテル立地、朝食等ご満足頂けている様でなによりでございます。天草は周りを海に囲まれていますので釣り好きの方にはとてもいい場所ですよね。また、釣りにいらした際にはご利用下さいませ。またのご利用心よりお待ち致しております。フロント　関,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/16608494?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=0&f_offset=17,,2019-09-05 17:54:05,2019月09月,5,4,3,5,4,5,5,,全国を出張していますがＡＺがあればなるべく利用することにしています。朝食まで付いてとにかくコスパが最高。,この度は、当ホテルをご利用頂き誠に有難うございます。　ＡＺがあればなるべく利用されているとの事大変嬉しく思います！出張でのご利用との事ですが、移動の疲れは癒されましたでしょうか？またのご利用スタッフ一同心よりお待ち致しております。フロント　関,【朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
